date,open,close
2023-01-03,238.23924481140818,234.80894470214844
2023-01-04,227.65433977112923,224.5376739501953
2023-01-05,222.67550813143782,217.8828887939453
2023-01-06,218.55915550438465,220.45071411132812
2023-01-09,221.9404207414047,222.59707641601562
2023-01-10,223.2243130221081,224.29261779785156
2023-01-11,226.6840190600621,231.07481384277344
2023-01-12,230.57497512258234,233.76025390625
2023-01-13,232.28030969416918,234.4658966064453
2023-01-17,233.2310050418497,235.56361389160156
2023-01-18,236.75933268112436,231.11402893066406
2023-01-19,229.124474665205,227.31130981445312
2023-01-20,230.18294271909866,235.4362030029297
2023-01-23,236.29869896460573,237.7492218017578
2023-01-24,237.67080148298487,237.21995544433594
2023-01-25,229.81050516547126,235.8184356689453
2023-01-26,238.7978850780299,243.06126403808594
2023-01-27,244.03155156466582,243.21807861328125
2023-01-30,239.64077517830026,237.8766326904297
2023-01-31,238.60187133523615,242.8750457763672
2023-02-01,243.0612674641444,247.7166748046875
2023-02-02,253.66582404083547,259.3307189941406
2023-02-03,254.37148948900116,253.20518493652344
2023-02-06,252.31328684712523,251.6566162109375
2023-02-07,255.3417486096492,262.23175048828125
2023-02-08,267.75946096567276,261.4183044433594
2023-02-09,268.3474748100803,258.3702087402344
2023-02-10,256.32182338936,257.8605651855469
2023-02-13,262.3101918765242,265.9169006347656
2023-02-14,267.24001239002024,266.7499694824219
2023-02-15,263.63528781822424,264.6178283691406
2023-02-16,259.41037480496044,257.5730285644531
2023-02-17,254.8612392443018,253.554443359375
2023-02-21,250.03692573640924,248.25852966308594
2023-02-22,249.6537463098398,247.11878967285156
2023-02-23,251.09805405544392,250.3218536376953
2023-02-24,245.59585986981725,244.8687744140625
2023-02-27,248.05218936224236,245.79234313964844
2023-02-28,244.72138164422634,245.0652618408203
2023-03-01,246.38188908047658,241.9702911376953
2023-03-02,242.24540131691637,246.7257843017578
2023-03-03,247.78694226466217,250.8328094482422
2023-03-06,251.9528878516763,252.3852081298828
2023-03-07,251.8251332062513,249.71267700195312
2023-03-08,249.6045985239911,249.27053833007812
2023-03-09,251.3535343083889,247.91464233398438
2023-03-10,246.69630267915912,244.24977111816406
2023-03-13,243.08054062729633,249.48670959472656
2023-03-14,252.2672832007519,256.23675537109375
2023-03-15,255.44096914809327,260.8056335449219
2023-03-16,260.57957486476903,271.3777160644531
2023-03-17,273.4017443911038,274.5513000488281
2023-03-20,272.14408779839806,267.4770202636719
2023-03-21,270.0808008005152,269.0
2023-03-22,268.6265552227389,267.53594970703125
2023-03-23,273.08736605749635,272.812255859375
2023-03-24,272.3995704746585,275.67144775390625
2023-03-27,275.60262774915475,271.5545654296875
2023-03-28,270.9749030001552,270.4246826171875
2023-03-29,274.0895014430885,275.6124572753906
2023-03-30,279.26751729823314,279.09063720703125
2023-03-31,278.77629115992977,283.2664794921875
2023-04-03,281.5174930646761,282.2151184082031
2023-04-04,282.2151301252811,282.1659851074219
2023-04-05,280.8592256779027,279.3755798339844
2023-04-06,278.26534956257757,286.5088806152344
2023-04-10,284.1605527684974,284.3374328613281
2023-04-11,280.76093809159977,277.89190673828125
2023-04-12,279.81775661090296,278.5404357910156
2023-04-13,278.6386328997121,284.7795104980469
2023-04-14,281.9891661216718,281.1441955566406
2023-04-17,284.86799665280347,283.7577209472656
2023-04-18,286.479408449853,283.33526611328125
2023-04-19,280.99677740499226,283.4138488769531
2023-04-20,280.269714510074,281.11468505859375
2023-04-21,280.03387709676457,280.7707824707031
2023-04-24,277.16488406665934,276.8504638671875
2023-04-25,274.6299772681223,270.61138916015625
2023-04-26,291.5198084868981,290.2130126953125
2023-04-27,290.80251791508084,299.5078125
2023-04-28,298.7021896959071,301.89544677734375
2023-05-01,301.6105141326076,300.2251281738281
2023-05-02,302.3866739262479,300.07769775390625
2023-05-03,301.26659903403873,299.0853576660156
2023-05-04,300.89319317575126,300.07769775390625
2023-05-05,300.38233895103525,305.22625732421875
2023-05-08,304.71534040836775,303.26116943359375
2023-05-09,302.62252479578075,301.6399841308594
2023-05-10,303.2316617176461,306.85723876953125
2023-05-11,304.6858736936846,304.6956787109375
2023-05-12,305.1279624328462,303.5755615234375
2023-05-15,303.7033066112777,304.0570068359375
2023-05-16,304.4205544655897,306.2972106933594
2023-05-17,307.5083603764243,309.1921691894531
2023-05-18,309.71404716104996,313.6429443359375
2023-05-19,311.89028190183615,313.4657897949219
2023-05-22,313.72175450256833,316.2622375488281
